no te rindas;rendir:v:[n=0,p=2] , aún estás;estar:v:[n=0,p=2] a tiempo;*:n:[n=0]	ani reñeme'ẽ;ñeme'ẽ:v|me'ẽ:v , ikatu;katu:v gueterei
aunque el frío;*:a:[n=0]|*:n:[n=0]|freír:v:[n=0,p=1] queme;quemar:v:[n=0,p=1]|quemar:v:[n=0,p=3] ,	jepémo ro'y;*:n nderapy;<hapy:v
aunque el miedo;*:n:[n=0] muerda;morder:v:[n=0,p=3]|morder:v:[n=0,p=1] ,	jepémo kyhyje;*:n ndesu'urasy ,
aunque el sol;*:n:[n=0] se ponga;poner:v:[n=0,p=3]|poner:v:[n=0,p=1] y se calle;callar:v:[n=0,p=1]|*:n:[n=0]|callar:v:[n=0,p=3] el viento;*:n:[n=0] ,	jepémo kuarahy;*:n oñemi;ñemi:v ha yvytu;*:n okirirĩ;kirirĩ:v ,
aún hay fuego;*:n:[n=0] en tu alma;*:n:[n=0] ,	oĩgui;ĩ:v gueterei tata;<hata:n ne;nde:n ángape;ánga:n ,
aún hay vida;*:n:[n=0] en tus sueños;sueño:n:[n=1]	oĩgui;ĩ:v gueterei pytuhẽ;*:n nde;*:n|* kerayvotýpe;kerayvoty:n
porque cada día;*:n:[n=0] es;ser:v:[n=0,p=3] un;*:a:[n=0] comienzo;comenzar:v:[n=0,p=1]|*:n:[n=0] nuevo;*:a:[n=0]|*:n:[n=0] ,	ára;*:n pyahu he'iségui;he'ise:n|'e:v ñepyrũjey ,
porque esta es;ser:v:[n=0,p=3] la hora;*:n:[n=0] y el mejor;*:a:[n=0] momento;*:n:[n=0] .	ko'áĝa ha'égui;'e:v pe;*:n|* aravoite .
porque no estás;estar:v:[n=0,p=2] solo;*|*:a:[n=0]|*:n:[n=0] , porque yo te quiero;querer:v:[n=0,p=1] …	nereiméigui;ime:v ne;nde:n año ha che;*:n|* rohayhúgui;<hayhu:v …
mario Benedetti nació;nacer:v:[n=0,p=3] en Paso de los Toros , Takuarembo , República Oriental del Uruguay el día;*:n:[n=0] 14 de setiembre;*:n:[n=0] del año;*:n:[n=0] 1920; y falleció;fallecer:v:[n=0,p=3] en la Ciudad de Montevideo , Uruguay , el día;*:n:[n=0] 17 de mayo;*:n:[n=0] del año;*:n:[n=0] 2009.	mario Benedetti niko heñóikuri Paso de los Toros , Takuarembo ; Uruguay;uruguay:n retãme;<hetã:n , ára;*:n 14 jasyporundy;*:n ary;*:n 1920- pe;*:n|* ; ha omanókuri;mano:v|mano+kuri:v Táva Montevideo , Uruguay;uruguay:n retãme;<hetã:n , ára;*:n 17 jasypo;*:n ary;*:n 2009- pe;*:n|* .
la Ciudad de Kapiata fue;ir:v:[n=0,p=3]|ser:v:[n=0,p=3] fundada;fundar:v:[n=0] por el Gobernador Martín Ledesma de Balderrama en el año;*:n:[n=0] 1640, el día;*:n:[n=0] 2 de febrero;*:n:[n=0] , Día de la Virgen de la Candelaria ; sin embargo;embargar:v:[n=0,p=1]|*:n:[n=0] , el Prof . Esteban Antonio Romero , historiador;*:n:[n=0] capiateño asegura;asegurar:v:[n=0,p=3] que la ciudad;*:n:[n=0] fue;ir:v:[n=0,p=3]|ser:v:[n=0,p=3] fundada;fundar:v:[n=0] por Pedro Lugo de Navarro , ya que según dicho;decir:v:[n=0]|*:n:[n=0] investigador;*:n:[n=0] , en esa época;*:n:[n=0] Don Pedro Lugo de Navarro era;ser:v:[n=0,p=1]|ser:v:[n=0,p=3]|*:n:[n=0] gobernador;*:n:[n=0] ya que Martín Ledesma de Balderrama en ese año;*:n:[n=0] se encontraba;encontrar:v:[n=0,p=1]|encontrar:v:[n=0,p=3] en España .	táva;*:n Kapi'atã niko omoheñoiva'ekue;moheñói:v|<heñói:v Sãmbyhyhára Martín Ledesma de Balderrama ary;*:n 1640- pe;*:n|* , ára;*:n 2 jasykõime , Tupãsy La Candelaria árape;ára:n ; upéicharõ;upe+rõ:s|upe:n jepe;pe:n|* , Mbo'ehára Esteban Antonio Romero , tembiasakuaahára kapi'atãygua , he'i;'e:v ko táva;*:n omoheñoihague;moheñói:v|<heñói:v Pedro Lugo de Navarro , kóva;*:n|* ha'égui;'e:v upérõ;upe+rõ:s|upe:n sãmbyhyhára;sãmbyhy:n ha ndaje upe;*:n|* arýpe;ary:n Martín Ledesma de Balderrama oĩhaguére;ĩ:v España - pe;*:n|* .
de cualquier manera;*:n:[n=0] , Kapiata es;ser:v:[n=0,p=3] una;un:a:[n=0] de las ciudades;ciudad:n:[n=1] más antiguas;antiguo:a:[n=1] del Paraguay .	taha'eha'eháicha , Kapi'atã niko oĩ;ĩ:v umi ñane;ñande:n retã;<hetã:n táva;*:n itujavéva;tuja:v apytépe;apyte:n|* .
la palabra;*:n:[n=0] Kapiata procede;proceder:v:[n=0,p=3] de las voces;voz:n:[n=1] guarani;*:n:[n=0] “ Kapi'i ” que es;ser:v:[n=0,p=3] una;un:a:[n=0] “ paja;*:n:[n=0] ” y “ atã ” que significa;significar:v:[n=0,p=3] “ duro;durar:v:[n=0,p=1]|*:a:[n=0]|*:n:[n=0] / a ”.	ñe'ẽ;*:n Kapiata ou;ju:v mokõi;*:n ñe'ẽgui;ñe'ẽ:n : “ kapi'i;*:n ” ha “ atã ”.
es;ser:v:[n=0,p=3] decir;*:v:[] , “ Kapi'i'atã ” quiere;querer:v:[n=0,p=3] decir;*:v:[] o designa;designar:v:[n=0,p=3] una;un:a:[n=0] “ variedad;*:n:[n=0] de paja;*:n:[n=0] ” que tiene;tener:v:[n=0,p=3] la característica;*:n:[n=0] de ser;*:v:[]|*:n:[n=0] “ dura;duro:a:[n=0]|durar:v:[n=0,p=3] ”; usada;usado:a:[n=0]|usar:v:[n=0] para;* la confección;*:n:[n=0] de las escobas , actividad;*:n:[n=0] artesanal;*:a:[n=0] característica;*:n:[n=0] de los capiateños .	ja'eporãtarõ , ñambohyapuva'erã;mbohyapu:v “ Kapi'i'atã ”; ha'éva;'e:v|ha'e:n peteĩ;*:n ka'avo;*:n hetava'ekue;<heta:v ko táva;*:n oĩhame ha ijere;jere:n rupi;<hupi:n|* avei ha ichugui;ha'e:n ojejapo;<japo:v|jejapo:v avei typycha;*:n ha'éva;'e:v|ha'e:n Kapi'atãygua rembiapo;<hembiapo:n teete .
el Distrito de Kapiata se halla;hallar:v:[n=0,p=3] ubicado;ubicar:v:[n=0] en el Departamento Central .	táva;*:n Kapi'atã oĩ;ĩ:v Tetãpehẽ Central - pe;*:n|* .
kapiata está;estar:v:[n=0,p=3]|estar:v:[n=0,p=2] dividida;dividir:v:[n=0] en un;*:a:[n=0] Centro Urbano con 11 barrios;barrio:n:[n=1] y 15 compañías;compañía:n:[n=1] .	kapi'atã oñemboja'o;ñemboja'o:v|mboja'o:v peteĩ;*:n Tavaitépe orekóva;ko:v 11 Jeikoha y;*:n 15 Tavapehẽ .
kapiata cuenta;contar:v:[n=0,p=3]|*:n:[n=0] con una;un:a:[n=0] población;*:n:[n=0] de 250.000 habitantes;habitante:n:[n=1] .	ko távape;táva:n oiko;iko:v|ko:v 250.000 tekove;<heko:n|<hekove:n .
la superficie;*:n:[n=0] de la Ciudad es;ser:v:[n=0,p=3] de 83 km2 .	kapi'atã yvy;*:n ojepyso;pyso:v|jepyso:v 83 km2 .
tiene;tener:v:[n=0,p=3] límites;límite:n:[n=1] con siete;*:a:[n=1]|*:n:[n=0] ciudades;ciudad:n:[n=1] : Luque , Areguá , Itauguá , J . Augusto Saldívar , Ypané , Ñemby y San Lorenzo .	kapi'atã rembe'ýpe;<hembe'y:n oĩ;ĩ:v pokõi táva;*:n : Luque , Aregua , Itaugua , J . Augusto Saldívar , Ypane , Ñemby ha San Lorenzo .
la Municipalidad de Kapiata está;estar:v:[n=0,p=3]|estar:v:[n=0,p=2] asentada;asentar:v:[n=0] en el Barrio San Roque sobre;* la ruta;*:n:[n=0] Mcal . Estigarribia y Mcal . López .	kapi'atã Tavao oñemohenda;mohenda:v|ñemohenda:v Jeikoha San Roque - pe;*:n|* , tape;<hape:n Mcal . Estigarribia ha Mcal . López ári , Km 20.
kapiata nace;nacer:v:[n=0,p=3] como;comer:v:[n=0,p=1]|* ciudad;*:n:[n=0] el día;*:n:[n=0] 20 de mayo;*:n:[n=0] del año;*:n:[n=0] 1872 con la creación;*:n:[n=0] de la Primera Junta Municipal .	kapi'atãgui oiko;iko:v|ko:v táva;*:n ára;*:n 20 jasypa;*:n ary;*:n 1872- pe;*:n|* oñemoheñoirõguare Tavao Aty Peteĩha .
finalmente , en el año;*:n:[n=0] 1968 fue;ir:v:[n=0,p=3]|ser:v:[n=0,p=3] elevada;elevar:v:[n=0]|elevado:a:[n=0] a municipio;*:n:[n=0] y tuvo;tener:v:[n=0,p=3] su primer;primero:a:[n=0] intendente municipal;*:n:[n=0] .	ipahápe;pa:n|paha:n|*|pa:v|paha:v , ary;*:n 1968- pe;*:n|* ojehechakuaa;<hecha:v ichupe;ha'e:n tavaóramo ha upe;*:n|* guive oguereko;reko:v táva;*:n motenondehára .
en una;un:a:[n=0] Nochebuena a minutos;minuto:n:[n=1] de la Navidad un;*:a:[n=0] anciano;*:a:[n=0]|*:n:[n=0] medita;meditar:v:[n=0,p=3] solitariamente , junto;*:a:[n=0]|juntar:v:[n=0,p=1] a la ventana;*:n:[n=0] de su aposento;*:n:[n=0]|aposentar:v:[n=0,p=1] ; con mirada;*:n:[n=0]|mirar:v:[n=0] angustiada;angustiar:v:[n=0] mira;mirar:v:[n=0,p=3]|*:n:[n=0] el cielo;*:n:[n=0] impasible , brillante;*:a:[n=0] , lleno;*:a:[n=0]|*:n:[n=0]|llenar:v:[n=0,p=1] de estrellas;estrella:n:[n=1] , y la tierra;*:n:[n=0] silenciosa;silencioso:a:[n=0] , envuelta;envuelto:a:[n=0]|envolver:v:[n=0] por el suave;*:a:[n=0] viento;*:n:[n=0] .	peteĩ;*:n Pyharemarangatúpe Arareñóimboyvemi , peteĩ;*:n karai;*:n tujamioñepy'amongeta ha'eñomi , ovetã;*:n ykére;*|yke:n , ikotykehápe ; omaña;maña:v kyhyje;*:n yvágare;yvága:n heko;<heko:n kirirĩ guasúva;guasu:n , ojajáiva;jajái:v , henyhẽva;<henyhẽ:v mbyjakuéragui;mbyja:n , ha yvy;*:n ape;*:n katu ikirirĩ;kirirĩ:v ha oñeañuã yvytu;*:n kangy piro'ýpe .
no hay en este;*:n:[n=0] mundo;*:n:[n=0] un;*:a:[n=0] corazón;*:n:[n=0] tan árido como;comer:v:[n=0,p=1]|* el suyo ni un;*:a:[n=0] alma;*:n:[n=0] tan atribulada;atribular:v:[n=0] .	ndaipóringo ko yvy;*:n ape;*:n ári peteĩ;*:n korasõ;*:n inandivéva;nandi:v imba'évagui;mba'e:n ha peteĩ;*:n ánga;*:n ikatuva'erã;katu:v oñembyasyve;mbyasy:v|ñembyasy:v ichugui;ha'e:n .
el sepulcro;*:n:[n=0] se abre;abrir:v:[n=0,p=3] ya ante;*|*:n:[n=0] sus pasos;paso:n:[n=1] ; él se encamina;encaminar:v:[n=0,p=3] a la sima;*:n:[n=0] y nota;notar:v:[n=0,p=3]|*:n:[n=0] asustado;asustar:v:[n=0] , que por bagaje de su vida;*:n:[n=0] , no trae;traer:v:[n=0,p=3] más que un;*:a:[n=0] enjambre de errores;error:n:[n=1] ; un;*:a:[n=0] cuerpo;*:n:[n=0] quebrantado;quebrantar:v:[n=0] por las enfermedades;enfermedad:n:[n=1] y un;*:a:[n=0] alma;*:n:[n=0] envenenada;envenenar:v:[n=0] .	tyvyty;*:n niko ojepe'áma;jepe'a:v|pe'a:v ohóvo;ha:v (vo) henonderãme ; ha'e;*:n|'e:v|* ohupytypotáma hembe'y;<hembe'y:n ha ñemondýi;*:n|mondýi:n reheve ohechakuaa;<hecha:v hekove;<hekove:v|<heko:n|<hekove:n rapykuere;<hapykue:n henyhẽha;<henyhẽ:n|<henyhẽ:v opaichagua;opa:n jejavygui ; hete;<hete:v|<hete:n katu hasykatupaite;<hasy:v ha hi'ánga;ánga:n hekotyaipa .
como;comer:v:[n=0,p=1]|* espectros;espectro:n:[n=1] aterradores;aterrador:a:[n=1] se arremolinan;arremolinar:v:[n=1,p=3] en su memoria;*:n:[n=0] los días;día:n:[n=1] hermosos;hermoso:a:[n=1] de la juventud;*:n:[n=0] : aquella espléndida;espléndido:a:[n=0] mañana;*:n:[n=0] de mayo;*:n:[n=0] en que su padre;*:n:[n=0] le puso;poner:v:[n=0,p=3] por primera;primero:a:[n=0]|*:n:[n=0] vez;*:n:[n=0] en el sendero;*:n:[n=0] de la vida;*:n:[n=0] desconocida;desconocido:a:[n=0]|desconocer:v:[n=0] para;* él ; asimismo , aquel momento;*:n:[n=0] fatal;*:a:[n=0] , en que él , el joven;*:a:[n=0]|*:n:[n=0] de sonrientes;sonriente:a:[n=1] esperanzas;esperanza:n:[n=1] , pisó;pisar:v:[n=0,p=3] , en vez;*:n:[n=0] del camino;caminar:v:[n=0,p=1]|*:n:[n=0] pedregoso , pero;* apacible , de la virtud;*:n:[n=0] ; aquel otro;*:a:[n=0]|*:n:[n=0] de la voluptuosidad y del error;*:n:[n=0] ; camino;caminar:v:[n=0,p=1]|*:n:[n=0] que le prometía;prometer:v:[n=0,p=1]|prometer:v:[n=0,p=3] el gozo;gozar:v:[n=0,p=1]|*:n:[n=0] , pero;* lo precipitó;precipitar:v:[n=0,p=3] arteramente al abismo;*:n:[n=0] .	póra;*:n ivaivaivévaicha;vai:v|vai+vaicha:v ohasa;<hasa:v iñakã;akã:n rupi;<hupi:n|* umi ára;*:n porãite;po:n imitãrusúrõguare : ku jasypo;*:n pyhareve;pyhare:n|*:n|py:n jajai'asy itúva;ru:n opoírõguare;poi:v (ramo+guare) chugui;ha'e:n oguata;guata:v haĝua ha'eño ha ijehegui ko yvy;*:n ape;*:n ári , teko;<heko:n ha'e;*:n|'e:v|* ne'irã oikuaaguasúva;kuaa:v gueterei ; upéicha;upe:n avei , ku pa'ũ;*:n hekojetu'úva , ha'e;*:n|'e:v|* , mitãrusu;*:n henyhẽva;<henyhẽ:v pukavy;*:n ha kerayvotyeta porãgui;po:n , opyrũrãngue;pyrũ:v tape;<hape:n hasyvéva;<hasy:v , py'aguapy;*:n me'ẽha;me'ẽ:n , tekokatu rape;<hape:n ; oguatákuri;guata+kuri:v|guata:v ambuére;ambue:n henyhẽva;<henyhẽ:v tekojerovu ha jejavýgui ; tape;<hape:n gua'u omyenyhẽtava heko;<heko:n vy'águi;vy'a:n ha upevérõ;upe+rõ:s|upe:n pya'eterei;pya'e:n ombosyryrýva;mbosyryry:v|syryry:v chupe;ha'e:n yvykua gotyo .
una;un:a:[n=0] pena;penar:v:[n=0,p=3]|*:n:[n=0] indecible tortura;*:n:[n=0]|torturar:v:[n=0,p=3] el corazón;*:n:[n=0] del anciano;*:a:[n=0]|*:n:[n=0] , cuando grita;gritar:v:[n=0,p=3] sollozando;sollozar:v:[] en el silencio;silenciar:v:[n=0,p=1]|*:n:[n=0] de la noche;*:n:[n=0] : ¡ Si pudieran;poder:v:[n=1,p=3] volver;*:v:[] otra;otro:a:[n=0]|otro:n:[n=0] vez;*:n:[n=0] los años;año:n:[n=1] de la juventud;*:n:[n=0] !.	peteĩ;*:n py'arasy;*:n ijapyra'ỹva ohapy;<hapy:v pe;*:n|* karai;*:n tujami korasõ;*:n , omohasẽ;<hasẽ:v chupe;ha'e:n ha sapukái;*:n upe;*:n|* pyhare;*:n|py:n ikirirĩ'asývape;kirirĩ:v : ¡ Ikatúnga'ura'e ambojevy;mbojevy:v|jevy:v ára;*:n ha aikojey;iko:v|ko:v mitãrusúrõ;mitãrusu:n|mitãrusu+rõ:s !.
¡ Oh , Padre mío , colócame otra;otro:a:[n=0]|otro:n:[n=0] vez;*:n:[n=0] en el cruce;cruzar:v:[n=0,p=1]|cruzar:v:[n=0,p=3]|*:n:[n=0] de los caminos;camino:n:[n=1] de la vida;*:n:[n=0] , para;* que pueda;poder:v:[n=0,p=3]|poder:v:[n=0,p=1] elegir;*:v:[] de otro;*:a:[n=0]|*:n:[n=0] modo;*:n:[n=0] !.	¡ Oo , che;*:n|* Ru , chemoĩjeýna tapejoasahápe aiporavo;poravo:v haĝua ambue;*:n tape;<hape:n !.
la queja;quejar:v:[n=0,p=3]|*:n:[n=0] sollozante del anciano;*:a:[n=0]|*:n:[n=0] se pierde;perder:v:[n=0,p=3] sin respuesta;*:n:[n=0] en el silencio;silenciar:v:[n=0,p=1]|*:n:[n=0] de noche;*:n:[n=0] .	karai;*:n tujami py'arasy;*:n oñemondéva;ñemonde:v|monde:v tasẽme;<hasẽ:n oho;ha:v ha okañy;kañy:v upe;*:n|* pyhare;*:n|py:n kirirĩguasúpe ha ndohupytýi;<hupyty:v ñembohovái;mbohovái:n .
no tendrá;tener:v:[n=0,p=3] ya ocasión;*:n:[n=0] de elegir;*:v:[] ...	ndorekomo'ãvéima pa'ũ;*:n oiporavo;poravo:v haĝua …
pero;* tú , amigo;*:n:[n=0] mío , estás;estar:v:[n=0,p=2] todavía frente;*:n:[n=0] al cruce;cruzar:v:[n=0,p=1]|cruzar:v:[n=0,p=3]|*:n:[n=0] de los caminos;camino:n:[n=1] de la vida;*:n:[n=0] .	áĝakatu nde;*:n|* , che;*:n|* irũ;*:n , reime;ime:v gueterei tapejoasaha renondépe;*|<henonde:n .
tu puedes elegir;*:v:[] aún el camino;caminar:v:[n=0,p=1]|*:n:[n=0] recto;regir:v:[n=0]|*:a:[n=0]|*:n:[n=0] .	nde;*:n|* reiporavokuaa;poravo:v gueterei tape;<hape:n ikare'ỹva .
no seas;ser:v:[n=0,p=2] primavera;*:n:[n=0] , sin flores;flor:n:[n=1] ... No seas;ser:v:[n=0,p=2] cielo;*:n:[n=0] , sin estrellas;estrella:n:[n=1] ... No seas;ser:v:[n=0,p=2] una;un:a:[n=0] persona;*:n:[n=0] , sin nobles;noble:n:[n=1]|noble:a:[n=1] ideales;ideal:a[n=1] ...	aníke oiko;iko:v|ko:v ndehegui;nde:n arapoty;*:n ijyvoty'ỹva … Aníke oiko;iko:v|ko:v ndehegui;nde:n yvága;*:n imbyja'ỹva;mbyja:n … Aníke oiko;iko:v|ko:v ndehegui;nde:n tekove;<heko:n|<hekove:n hekokatu'ỹva;<hekokatu:v …
en Ka'apuku , hace;hacer:v:[n=0,p=3] muchos;mucho:a:[n=1] años;año:n:[n=1] , vivía;vivir:v:[n=0,p=1]|vivir:v:[n=0,p=3] un;*:a:[n=0] niño;*:n:[n=0] llamado;llamar:v:[n=0]|*:a:[n=0] Carlitos junto;*:a:[n=0]|juntar:v:[n=0,p=1] a sus padres;padre:n:[n=1] .	ka'apukúpe , yma ymaite , oikova'ekue;iko:v|ko:v peteĩ;*:n mitã'i;mitã:n|*:n hérava;<hérava:v|<héra:v|<héra:n Kalo'i;kalo:n itúva;ru:n ha isy;sy:n ndive .
ellos vivían;vivir:v:[n=1,p=3] en un;*:a:[n=0] humilde;*:a:[n=0] ranchito;*:n:[n=0] y eran;ser:v:[n=1,p=3] muy pero;* muy pobres;pobre:a:[n=1]|pobre:n:[n=1] .	ha'ekuéra;ha'e:n|* oikova'ekue;iko:v|ko:v peteĩ;*:n tapỹi;*:n chu'imíme ha imboriahu;mboriahu:v imboriahueterei hikuái .
su padre;*:n:[n=0] labraba;labrar:v:[n=0,p=1]|labrar:v:[n=0,p=3] la tierra;*:n:[n=0] que le producía;producir:v:[n=0,p=3]|producir:v:[n=0,p=1] maíz;*:n:[n=0] , zapallo;*:n:[n=0] , maní;*:n:[n=0] , batata;*:n:[n=0] , mandioca;*:n:[n=0] y poroto;*:n:[n=0] .	itúva;ru:n oñembokokue ha yvy;*:n ome'ẽ;me'ẽ:v chupe;ha'e:n avati;*:n , kurapepẽ , manduvi;*:n , jety;<hy:n|*:n , mandi'o;*:n ha kumanda;*:n .
en época;*:n:[n=0] de carestía;*:n:[n=0] se alimentaban;alimentar:v:[n=1,p=3] de lo poco;*:a:[n=0]|*:n:[n=0] que lograban;lograr:v:[n=1,p=3] juntar;*:v:[] y muchas;mucho:a:[n=1] veces;vez:n:[n=1] hasta pasaron;pasar:v:[n=1,p=3] hambre;*:n:[n=0] por carecer;*:v:[] de comida;comer:v:[n=0]|*:n:[n=0] .	opávo;opa+vo:s|pa+vo:v|opa:n umíva ho'umiva'erã;'u:v umi tembyremi ombyatyva'ekue;mbyaty:v ha heta;<heta:v jey;jevy:n|y:n ohasa;<hasa:v hikuái ñembyahýi ndorekovéigui tembi'u;<hembi'u:n .
su abuelo;*:n:[n=0] siempre le decía;decir:v:[n=0,p=1]|decir:v:[n=0,p=3] a Carlitos que luego de morir;*:v:[] él vería;ver:v:[n=0,p=3]|ver:v:[n=0,p=1] , con Dios , como;comer:v:[n=0,p=1]|* ayudarlos;ayudar:v:[] (los) para;* salir;*:v:[] de la pobreza;*:n:[n=0] ; y así;asir:v:[n=0,p=2]|asir:v:[n=0,p=1]|* , un;*:a:[n=0] día;*:n:[n=0] , el abuelo;*:n:[n=0] falleció;fallecer:v:[n=0,p=3] .	hamói;<hamói:n he'imiva'erã;'e:v Kalo'ípe;kalo:n omano;mano:v rire ohechataha , Ñande Ru ndive , mba'éichapa;mba'e:n|* ikatúne;katu:v oipytyvõ;pytyvõ:v chupekuéra;ha'e:n osẽ;sẽ:v haĝua mboriahúgui ; ha péicha;pe:n|* , peteĩ;*:n ára;*:n , tamói;<hamói:n omano;mano:v .
