No te rindas, aún estás a tiempo	Ani reñeme'ẽ, ikatu gueterei	
La Ciudad de Kapiata fue fundada por el Gobernador Martín Ledesma de Balderrama en el año 1640, el día 2 de febrero, Día de la Virgen de la Candelaria; sin embargo, el Prof. Esteban Antonio Romero, historiador capiateño asegura que la ciudad fue fundada por Pedro Lugo de Navarro, ya que según dicho investigador, en esa época Don Pedro Lugo de Navarro era gobernador ya que Martín Ledesma de Balderrama en ese año se encontraba en España.	Táva Kapi'atã niko omoheñoiva'ekue Sãmbyhyhára Martín Ledesma de Balderrama ary 1640-pe, ára 2 jasykõime, Tupãsy La Candelaria árape; upéicharõ jepe, Mbo'ehára Esteban Antonio Romero, tembiasakuaahára kapi'atãygua, he'i ko táva omoheñoihague Pedro Lugo de Navarro, kóva ha'égui upérõ sãmbyhyhára ha ndaje upe arýpe Martín Ledesma de Balderrama oĩhaguére España-pe.	
De cualquier manera, Kapiata es una de las ciudades más antiguas del Paraguay.	Taha'eha'eháicha, Kapi'atã niko oĩ umi ñane retã táva itujavéva apytépe.	
La palabra Kapiata procede de las voces guarani “Kapi'i” que es una “paja” y “atã” que significa “duro/a”.	Ñe'ẽ Kapiata ou mokõi ñe'ẽgui: “kapi'i” ha “atã”.	
Es decir, “Kapi'i'atã” quiere decir o designa una “variedad de paja” que tiene la característica de ser “dura”; usada para la confección de las escobas, actividad artesanal característica de los capiateños.	Ja'eporãtarõ, ñambohyapuva'erã “Kapi'i'atã”; ha'éva peteĩ ka'avo hetava'ekue ko táva oĩhame ha ijere rupi avei ha ichugui ojejapo avei typycha ha'éva Kapi'atãygua rembiapo teete.	
El Distrito de Kapiata se halla ubicado en el Departamento Central.	Táva Kapi'atã oĩ Tetãpehẽ Central-pe.	
Kapiata está dividida en un Centro Urbano con 11 barrios y 15 compañías.	Kapi'atã oñemboja'o peteĩ Tavaitépe orekóva 11 Jeikoha y 15 Tavapehẽ.	
Kapiata cuenta con una población de 250.000 habitantes.	Ko távape oiko 250.000 tekove.	
La superficie de la Ciudad es de 83 km2.	Kapi'atã yvy ojepyso 83 km2.	
Tiene límites con siete ciudades: Luque, Areguá, Itauguá, J. Augusto Saldívar, Ypané, Ñemby y San Lorenzo.	Kapi'atã rembe'ýpe oĩ pokõi táva: Luque, Aregua, Itaugua, J. Augusto Saldívar, Ypane, Ñemby ha San Lorenzo.	
La Municipalidad de Kapiata está asentada en el Barrio San Roque sobre la ruta Mcal. Estigarribia y Mcal. López.	Kapi'atã Tavao oñemohenda Jeikoha San Roque-pe, tape Mcal. Estigarribia ha Mcal. López ári, Km 20.	
Kapiata nace como ciudad el día 20 de mayo del año 1872 con la creación de la Primera Junta Municipal.	Kapi'atãgui oiko táva ára 20 jasypa ary 1872-pe oñemoheñoirõguare Tavao Aty Peteĩha.	
Finalmente, en el año 1968 fue elevada a municipio y tuvo su primer intendente municipal.	Ipahápe, ary 1968-pe ojehechakuaa ichupe tavaóramo ha upe guive oguereko táva motenondehára.	
En una Nochebuena a minutos de la Navidad un anciano medita solitariamente, junto a la ventana de su aposento; con mirada angustiada mira el cielo impasible, brillante, lleno de estrellas, y la tierra silenciosa, envuelta por el suave viento.	Peteĩ Pyharemarangatúpe Arareñóimboyvemi, peteĩ karai tujamioñepy'amongeta ha'eñomi, ovetã ykére, ikotykehápe; omaña kyhyje yvágare heko kirirĩ guasúva, ojajáiva, henyhẽva mbyjakuéragui, ha yvy ape katu ikirirĩ ha oñeañuã yvytu kangy piro'ýpe.	
No hay en este mundo un corazón tan árido como el suyo ni un alma tan atribulada.	Ndaipóringo ko yvy ape ári peteĩ korasõ inandivéva imba'évagui ha peteĩ ánga ikatuva'erã oñembyasyve ichugui.	
El sepulcro se abre ya ante sus pasos; él se encamina a la sima y nota asustado, que por bagaje de su vida, no trae más que un enjambre de errores; un cuerpo quebrantado por las enfermedades y un alma envenenada.	Tyvyty niko ojepe'áma ohóvo henonderãme; ha'e ohupytypotáma hembe'y ha ñemondýi reheve ohechakuaa hekove rapykuere henyhẽha opaichagua jejavygui; hete katu hasykatupaite ha hi'ánga hekotyaipa.	
Como espectros aterradores se arremolinan en su memoria los días hermosos de la juventud: aquella espléndida mañana de mayo en que su padre le puso por primera vez en el sendero de la vida desconocida para él; asimismo, aquel momento fatal, en que él, el joven de sonrientes esperanzas, pisó, en vez del camino pedregoso, pero apacible, de la virtud; aquel otro de la voluptuosidad y del error; camino que le prometía el gozo, pero lo precipitó arteramente al abismo.	Póra ivaivaivévaicha ohasa iñakã rupi umi ára porãite imitãrusúrõguare: ku jasypo pyhareve jajai'asy itúva opoírõguare chugui oguata haĝua ha'eño ha ijehegui ko yvy ape ári, teko ha'e ne'irã oikuaaguasúva gueterei; upéicha avei, ku pa'ũ hekojetu'úva, ha'e, mitãrusu henyhẽva pukavy ha kerayvotyeta porãgui, opyrũrãngue tape hasyvéva, py'aguapy me'ẽha, tekokatu rape; oguatákuri ambuére henyhẽva tekojerovu ha jejavýgui; tape gua'u omyenyhẽtava heko vy'águi ha upevérõ pya'eterei ombosyryrýva chupe yvykua gotyo.	
Una pena indecible tortura el corazón del anciano, cuando grita sollozando en el silencio de la noche: ¡Si pudieran volver otra vez los años de la juventud!.	Peteĩ py'arasy ijapyra'ỹva ohapy pe karai tujami korasõ, omohasẽ chupe ha sapukái upe pyhare ikirirĩ'asývape: ¡Ikatúnga'ura'e ambojevy ára ha aikojey mitãrusúrõ!.	
¡Oh, Padre mío, colócame otra vez en el cruce de los caminos de la vida, para que pueda elegir de otro modo!.	¡Oo, che Ru, chemoĩjeýna tapejoasahápe aiporavo haĝua ambue tape!.	
La queja sollozante del anciano se pierde sin respuesta en el silencio de noche.	Karai tujami py'arasy oñemondéva tasẽme oho ha okañy upe pyhare kirirĩguasúpe ha ndohupytýi ñembohovái.	
No tendrá ya ocasión de elegir...	Ndorekomo'ãvéima pa'ũ oiporavo haĝua…	
Pero tú, amigo mío, estás todavía frente al cruce de los caminos de la vida.	Áĝakatu nde, che irũ, reime gueterei tapejoasaha renondépe.	
Tu puedes elegir aún el camino recto.	Nde reiporavokuaa gueterei tape ikare'ỹva.	
No seas primavera, sin flores... No seas cielo, sin estrellas... No seas una persona, sin nobles ideales...	Aníke oiko ndehegui arapoty ijyvoty'ỹva… Aníke oiko ndehegui yvága imbyja'ỹva… Aníke oiko ndehegui tekove hekokatu'ỹva…	
En Ka'apuku, hace muchos años, vivía un niño llamado Carlitos junto a sus padres.	Ka'apukúpe, yma ymaite, oikova'ekue peteĩ mitã'i hérava Kalo'i itúva ha isy ndive.	
Ellos vivían en un humilde ranchito y eran muy pero muy pobres.	Ha'ekuéra oikova'ekue peteĩ tapỹi chu'imíme ha imboriahu imboriahueterei hikuái.	
Su padre labraba la tierra que le producía maíz, zapallo, maní, batata,  mandioca y poroto.	Itúva oñembokokue ha yvy ome'ẽ chupe avati, kurapepẽ, manduvi, jety, mandi'o ha kumanda.	
En época de carestía se alimentaban de lo poco que lograban juntar y muchas veces hasta pasaron hambre por carecer de comida.	Opávo umíva ho'umiva'erã umi tembyremi ombyatyva'ekue ha heta jey ohasa hikuái ñembyahýi ndorekovéigui tembi'u.	
Su abuelo siempre le decía a Carlitos que luego de morir él vería, con Dios, como ayudarlos para salir de la pobreza; y así, un día, el abuelo falleció.	Hamói he'imiva'erã Kalo'ípe omano rire ohechataha, Ñande Ru ndive, mba'éichapa ikatúne oipytyvõ chupekuéra osẽ haĝua mboriahúgui; ha péicha, peteĩ ára, tamói omano.	
Días después el abuelo se le apareció en sueños a Carlitos y le dijo: “Fíjate, después de la primera lluvia, donde nace el arcoíris y allí encontrarás una gran riqueza que -bien administrada por ustedes- les ayudará a vivir holgadamente”.	Ohasávo umi ára, tamói ojehechauka Kalo'ípe iképe ha he'i chupe: “Ejesareko, ama guasu oúva rire, pe jýi heñoihápe ha upépe rejuhúta mba'eta guasu peneipytyvõtava -peipuruporãrõ- peiko porã haĝua peikotevẽ'ỹre mba'eve”.	
Y efectivamente, Carlitos y su padre, luego de la lluvia, fueron hasta donde nacía el arcoíris y encontraron una olla llena de oro.	Ha añetehápe, Kalo'i ha itúva, ama guasu rire, ohókuri jýi heñoiha peve ha ojuhu peteĩ japepo henyhẽva itajúgui.	
Esa riqueza los ayudó a vivir muy bien y a ayudar a sus semejantes.	Pe mba'eta rupive ha'ekuéra ohupyty tekoporã ha avei oipytyvõ hapichakuéra oikotevẽvape.	
Y así llega a su fin la historia de Carlitos que ayudado por su abuelo encontró la riqueza donde nacía el arcoíris…	Ha péicha oĝuahẽ ijapýpe Kalo'i rembihasakue, hamói ñepytyvõ rupive, ojuhuva'ekue mba'eta oĩva jýi heñoihápe…	
José Hernández, cuyo nombre completo es José Rafael Hernández y Pueyrredón, nació el día 10 de noviembre del año 1834, en Buenos Aires, República Argentina.	José Hernández, héra pukuvéva José Rafael Hernández y Pueyrredón, heñóikuri ára 10 jasypateĩ ary 1834-pe, Táva Buenos Aires, Argentina retãme.	
Su padre fue Rafael Hernández y su madre Isabel de Pueyrredón.	Itúva herava'ekue Rafael Hernández ha isýkatu Isabel de Pueyrredón.	
Fue militar, periodista, poeta y político argentino, más conocido como el autor del Martín Fierro, obra máxima de la literatura gauchesca.	Guarini, marandu'asãihára, ñe'ẽpapára ha teikuaihára Argentina-ygua, ojekuaavéva ohaihaguére Martín Fierro, aranduka ojehecharamovéva gaucho reko rehegua.	
En su homenaje, el 10 de noviembre -aniversario de su nacimiento- se celebra el Día de la Tradición en la República Argentina.	Hérape, ára 10 jasypateĩ jave -hi'arambotýpe- ojegueromandu'a Tavarandu Ára Argentina retãme.	
Iniciado como militar en defensa de la autonomía del Estado de Buenos Aires, entre los años 1852 y 1872 desarrolló una fuerte actividad periodística.	Oikókuri chugui guarini oipysyrõnguévo Buenos Aires rekosãso, ary 1852 guive 1872 peve omba'apo mbarete marandu'asãihápe.	
En esa época caliente políticamente, decía que las Provincias no debían permanecer ligadas al gobierno de Buenos Aires.	“Yvy hakuve jave”, he'íkuri Tetãpehẽnguéra natekotevẽiha oĩ Buenos Aires ruvicha poguýpe.	
Desde el año 1857 se radicó en Parana y vivió alternativamente en esa ciudad, en Corrientes, Rosario y Montevideo para después retornar a Buenos Aires.	Ary 1857-pe ova ha oikókuri Paranáme ha upégui ova Corrientes, Rosario ha Montevideo-pe ha upéi ojevy Buenos Aires-pe.	
Participó en una de las últimas rebeliones federales, dirigida por Ricardo López Jordán, cuyo intento de acción finalizó en el año 1871 con la derrota de los gauchos y el exilio de José Hernández en el Brasil.	Oĩjepékuri umi Federal ñorãirõ pahápe, omoakãva'ekue Ricardo López Jordán, ndaipu'akáiva'ekue hovaiguáre ha oguevi ary 1871-pe guaucho-kuéra oñeme'ẽhaguépe ha José Hernández katu oñemomombyry ha oho Brasil retãme.	
Después de esta revolución él siguió colaborando con López Jordán, de quién con el tiempo se separó.	Upe ñorairõ rire ha'e oipytyvõvékuri López Jordán-pe ha mbeguekatúpe ojeheja chugui.	
A su retorno a la Argentina, en el año 1872, continuó su lucha por medio del periodismo y publicó la primera parte de su obra maestra, El Gaucho Martín Fierro.	Ojevývo Argentina-pe, ary 1872-pe, ombojoapy iñorairõ marandu'asãi rupive ha upérõ ohecha ára resa hembiapo tuichavéva, El Gaucho Martín Fierro.	
Fue a través de su poesía como consiguió un gran eco para sus propuestas y la más valiosa contribución a la causa de los gauchos.	Iñe'ẽpoty rupive omyasãimbaretékuri hemiandu ha pytyvõ gaucho-kuéra rayhupápe.	
La continuación de la obra, La vuelta de Martín Fierro (1879), en conjunto, forman un poema épico que refleja el sentir popular.	Upe hembiapo mbojoapypyre, La vuelta de Martín Fierro (1879), ijypykue ndive, oñembohete peteĩ ñe'ẽpoty añóme ha oñanduka tavaygua remimo'ã.	
Posteriormente fue miembro del Congreso de la Provincia de Buenos Aires con una valiosa producción legislativa.	Uperiréma oike Tetãpehẽ Buenos Aires Amandajépe ha upépe heta mba'e porã ojapókuri.	
José Hernández falleció el día 21 de octubre de 1886, en Belgrano, Buenos Aires.	José Hernández omanókuri ára 21 jasypa ary 1886-pe, Belgrano, Buenos Aires-pe.	
En la espesura del gran monte, una noche, alrededor del fogón, el abuelo Guarani -como siempre rodeado de todos los niños de la aldea- se disponía a narrarles una leyenda, esta vez, se trataba de la leyenda del gran guerrero Urunde.	Ka'a guasu hypy'ũvéva mbytépe, peteĩ pyhare, tataypýpe, tamói Guarani -oguapýva tata jerére opaite mitã'ikuéra hekohapegua ndive- ohenduka chupekuéra peteĩ mombe'upy omombe'úva guarini guasu Urunde rekovekue.	
Los Guarani tuvieron muchos héroes, valientes guerreros, líderes de sus respectivas comunidades, y precisamente, Urunde fue uno de esos hombres.	Guaranikuéra niko oguerekojepékuri heta tekoverechapyrã, guarini ha'evéva, hekoha motenondehára; ha ja'eporãtarõ, Urunde ha'eva'ekue umi rehegua.	
El abuelo Guarani contó a los niños que Urunde fue hijo de Uruguasu, Mburuvicha de una gran aldea Guarani asentada en la costa del Río Paraguay pero en la Región Oriental.	Tamói Guarani omombe'úkuri mitãmimíme Urunde ha'ehague Uruguasu ñemoñare; Uruguasu niko peteĩ Guarani Rekoha Guasu Mburuvichakue; ko tekoha guasu oñemohendava'ekue Y Paraguay rembe'ýpe, Arasẽ Yvypehẽme.	
Urunde fue criado por su padre para ser un gran líder, un gran orador, un hombre sabio, un hombre pleno, que -a su muerte- le sucediera en el gobierno de la gran aldea Guarani… y en verdad, así ocurrió.	Uruguasu niko ohekombo'ékuri ita'ýra Urundépe oiko haĝua ichugui peteĩ motenondehára guasu, iñe'ẽngatúva, iñarandúva, hekokatúva, omyengoviakuaátava ichupe -hi'aramano rire- tekoha guasu ñemotenondépe… ha añetehápe, upeichaite oikókuri.	
Un día, ya muy entrado en años, Uruguasu falleció.	Peteĩ ára, hetaitereirasa kuarahyresẽ ohecha rire, Uruguasu omano.	
Toda la aldea lamentó la muerte de ese gran hombre que brindó días felices a todos los miembros de la comunidad.	Tekoha tuichaháicha ombyasy pe karai guasu ñemano; ha'éniko heta ombovy'apavẽkuri opavavete oikóva guive upe tekohápe.	
Su hijo Urunde le confeccionó la urna funeraria, lo enterró en compañía de toda la comunidad, y luego sucedió a su padre como Mburuvicha de la gran aldea.	Ita'ýra Urunde niko ojapókuri ijapeporã, oñotỹkuri chupe maymaite ñemoirũ rupive ha upehague omyengoviákuri itúvape ha oiko ichugui upe tekoha guasu Mburuvicha.	
Urunde no se quedó atrás y prosiguió con las ideas de su padre.	Urunde ndopytái tapykuépe ha ombojoapyvékuri itúva remimo'ã.	
Fue así que en todo momento buscó que su pueblo transitara por los caminos de la justicia, de la sabiduría, de la libertad, herramientas necesarias para lograr la vida plena que finalmente los conduciría a la Tierra sin Mal.	Upeichahápe, ára ha ára, oñeha'ãkuri omboguata hetã tekojoja rape rupi, arandu rekávo, tekosã'ỹ moañetévo, oikuaaporãgui umíva ha'eha tembipuru oguerahátava chupekuéra tekokatu repére ohupyty peve Yvy Mara'ỹ.	
Logró mantener la tranquilidad en la gran aldea.	Tekoha Guasu oiko tapiaite py'aguapýpe.	
Así, mientras las mujeres atendían el hogar, a los hijos y preparaban los alimentos y los tejidos hechos de karanda'y; Urunde salía con varios varones de la gran aldea a buscar los productos para la subsistencia: pescados, miel, frutos, agua y leña.	Péicha, kuña oñangareko aja tapỹi ha imembykuérare ha upekuévo ojapo aja tembi'u ha ijaorã karanda'ýgui; Urunde osẽmiva'erã heta kuimba'ekuéra ndive ohekávo hembi'urã: pira, eirete, yva, y ha jepe'a.	
A la noche, la felicidad de apoderaba de la gran aldea cuando se reunían en el templo -como una sola familia- a honrar a Ñande Ru, mediante sus oraciones, danzas y cantos.	Pyharekue, vy'apavẽ oñemomba'e hesekuéra ha maymáva ohua'ĩ oñombyatývo opýpe -oñopehẽnguéicha- omomba'eguasúvo Ñande Rúpe, ñembo'e jeroky rupive.	
Sin embargo, de cuando en cuando, eran atacados por los temibles indios Pajagua, que vivían en la ribera de enfrente; es decir, en la Región Occidental.	Jepémo upéicha, sapy'apy'a, ojeitýjepi hi'arikuéra umi Pajagua ñaña, oikóva Y Paraguay mboypýri, Aragua Yvypehẽme.	
En esas circunstancias, Urunde y sus guerreros sacaban a relucir su vocación guerrera y en memorables acciones siempre lograban expulsar a los Pajagua de sus tierras, persiguiéndolos en sus canoas hasta el otro lado del Río Paraguay.	Upéicha jave, Urunde ha iguarinikuéra ohechaukájepi ipy'aguasuha ha jetyvyro ijojahaỹva rupi akóinte omosẽmiva'erã Pajaguakuérape hekoha guasúgui ha omuñájepi chupekuéra, ygakuérape, Y Paraguay mboypýri peve.	
Grandes celebraciones realizaban luego de esas batallas.	Umi ñorairõ rire ojejapómiva'erã vy'arã'aty ndetuichapajepéva.	
Dicen que -entre los Guarani- muy pocos Mburuvicha llegaron a ser tan admirados y queridos como Urunde, un hombre incorruptible, fuerte, duro, de estatura alta, de gran resistencia; quien gobernó por varios años a su gran aldea.	Oĩ he'íva ndaiporihavoi -Guaranikuéra apytépe- peteĩ Mburuvicha ojehecharamo ha ojehayhuvéva Urundégui, ha'éva peteĩ kuimba'e hekotuju'ỹva, imbarete, hatã, ijyvateporã ha hekoverosã añetetéva; are omotenondeva'ekue pe hekoha guasúpe.	
Un día, ya muy anciano, Ñande Ru convocó al alma de Urunde a la Tierra sin Mal, lugar destinado a los seres perfectos.	Peteĩ ára, itujamímavo, Ñande Ru ohenói Urundépe ha hi'ãnga ojehekýi ñande apytégui ha oho Yvy Mara'ỹme, ha'éva upe tenda ohupytýva umi heko'aguyjéva.	
La gran aldea Guarani, con gran pesar, se encargó de enterrar su cuerpo en una hermosa urna funeraria, en la costa del río Paraguay, mirando hacia la Región Occidental como para atemorizar por siempre a los temibles indios Pajagua, que nunca pudieron vencerlo.	Guarani Tekoha Guasu, tuicha temimbyasýre, oñotỹkuri hetekue peteĩ japepo neporãmbajepévape, Y Paraguay rembe'ýpe, ha omomaña hikuái chupe Aragua Yvypehẽ gotyo akóinte omondýi haĝua Pajaguakuérape, araka'eve ndaipu'akaiva'ekue hese.	
Ñande Ru interpretó el sentimiento de los miembros de la gran aldea Guarani e hizo crecer un nuevo árbol en aquel lugar, un árbol incorruptible, fuerte, duro, de estatura alta y de gran resistencia; al cual los Guarani bautizaron Urunde'y, nombre de aquel gran guerrero que por mucho tiempo los gobernó.	Ñande Ru ohechakuaa Guarani Rekoha Guasuygua remiandu ha omoheñói upepete peteĩ yvyra pyahu, hekotuju'ỹva, hatã, ijyvateporã ha hekoverosã añetetéva; Guaranikuéra omboherava'ekue upe yvyrápe: Urunde'y, ohechakuaávo pe guarini guasúpe are omotenondeva'ekue chupekuéra.	
Hasta hoy el Urunde'y es un árbol muy admirado y apreciado; y esta es la leyenda de ese hermoso árbol.	Ko'áĝa peve Urunde'y ha'e yvyra ojehecharamo ha ojehayhúva ha kóva niko ha'e pe mombe'upy imandu'áva pe yvyra porãitére.	
Finalmente, cabe mencionar que la partícula sufija “y” quiere decir “árbol o planta” por eso aparece en la denominación de prácticamente todas las variedades forestales (urunde-y, karanda-y, guapo-y, kurupa-y, jata-y, juasy-y, amba-y), y en zonas acuáticas la “y” sirve para indicar ríos (arroyos o cursos de aguas) con abundancia de determinados peces u otras especies y variedades acuáticas (suruvi-y, pirape-y, jatyta-y, akara-y, javevýi-y).	Ipahápe, tekotevẽ ñamyesakã pe ñe'ẽpehẽtai upeigua “y” he'iseha “yvyra térã ka'avo”, upévare omoirũjepi opavavete nunga yvyra rerakuérape (urunde-y, karanda-y, guapo-y, kurupa-y, jata-y, juasy-y, amba-y), ha he'õháme katu, pe “y” he'ise “ysyry” hetahápe peteĩchagua pira térã ambue mymba oikóva ýpe ha y jere rupi (suruvi-y, pirape-y, jatyta-y, akara-y, javevýi-y).	
Todos estos nombres son muy antiguos, corresponden a la historia de la América precolombina; es decir, de antes de 1492.	Opaite ko'ã téra niko aretereiguaréma; oĩmava'ekuevoi Colón oĝuahẽ mboyve Amérikape; ja'eporãsérõ, ary 1492 mboyve.	
Hecho ocurrido en 1892, verdadero, extraído de una biografía.	Ko mba'e ojehúkuri 1892-pe, añetegua, oñenohẽkuri peteĩ tekohaipyrégui.	
Un señor de unos 70 años viajaba en un transporte teniendo sentado a su lado a un joven universitario que leía su libro de Ciencias.	Peteĩ karai orekóva 70 ary rupi ohohína peteĩ mba'yrúpe ha ijykére oguapy peteĩ mitãrusu mbo'ehaovusupegua temimbo'e omoñe'ẽva iñaranduka Tembikuaaty rehegua.	
El caballero también leía un libro de portada negra.	Karai avei omoñe'ẽ ohóvo peteĩ aranduka ijapehũva.	
Fue cuando el joven percibió que se trataba de la Biblia y que estaba abierta en el Evangelio de Marcos.	Mitãrusu ohechakuaákuri upe aranduka ha'eha Biblia ha ojepe'aha Marcos rembihaípe.	
El muchacho interrumpió la lectura del viejo y le preguntó: -“Señor, ¿usted todavía cree en ese libro lleno de fábulas y cuentos?”.	Mitãrusu ojoko pe tujami moñe'ẽ ha oporandu: -“Karai, ¿ndépiko reguerovia gueterei pe aranduka henyhẽva morangu ha ñemombe'úgui?”.	
-“Sí, mas no es un libro de cuentos, es la Palabra de Dios, o ¿estoy equivocado?”.	-“Aguerovia, hákatu kóvango ndaha'é ñemombe'urei aranduka, kóvango Tupã ñe'ẽ, térãpa ajavy”.	
-“Pero claro que lo está.	-“Héẽ, rejavy.	
Creo que usted señor debería estudiar Historia Universal y verá que la Revolución Francesa, ocurrida hace más de 100 años, mostró la miopía de la religión.	Chénteko ha'e nde remoñe'ẽva'erãha Arapy Rembiasakue ha upépe rehechakuaáta Revolución Francesa, ojehuva'ekue 100 ary rasamíma, ohechaukahague jeroviakatu vyroreiha.	
Solamente personas sin cultura todavía creen que Dios hizo el mundo en 6 días.	Tapicha tavýnte oguerovia gueterei Tupã ojapohague yvóra 6 árape.	
Usted señor debería conocer un poco más lo que los Científicos dicen de todo eso”.	Ndéngo reñeha'ãva'erã reikuaamive mba'épa he'i umi tembikuaatyhára umi mba'ére”.	
-“Y... ¿es eso mismo lo que los científicos dicen sobre la Biblia?”, preguntó el viejo.	-“Ha… ¿umíva umi mba'épiko he'i umi tembikuaatyhára Biblia-pe ojehaívare?”, oporandu tujami.	
-“Como voy a bajar en la próxima estación, no tengo tiempo de explicarle.	-“Aguejýtagui ambue japytatahápe, nda'ijavéima chéve amyesakã haĝua ndéve.	
Déme su tarjeta para mandarle material sobre este tema”, respondió el joven al anciano.	Eme'ẽna chéve ne kuatia'atã'i ikatuhaĝuáicha amoĝuahẽ ndéve heta marandu ko mba'e rehegua”, ombohovái tujamí upe mitãrusúpe.	
El anciano entonces, con mucha paciencia, sacó su tarjeta y se la dio al muchacho.	Upérõ tujami, mbeguekatumi, onohẽ ikuatia'atã'i ha ome'ẽ mitãrusúpe.	
Cuando éste leyó lo que allí decía se sobresaltó y salió cabizbajo.	Kóva omoñe'ẽvo hese he'íva oñemondýi ha ñakãitýpe oho.	
En la tarjeta decía: Profesor Doctor Louis Pasteur, Director General del Instituto de Investigaciones Científicas, Universidad Nacional de Francia.	Kuatia'atã'íre he'i: Mbo'ehára Tembikuaajára Louis Pasteur, Tembikuaareka Renda Motenondehára, Francia Retã Mbo'ehaovusu.	
“Un poco de ciencia nos aparta de Dios.	“Michĩ jave tembikuaaty ñanemomombyry Tupãgui.	
Mucha, nos aproxima”.	Heta jave, ñanemo'aĝui”.	
Esta antigua leyenda intenta explicar la causa del porqué los Tupi viven en el Brasil y los Guarani en el Paraguay.	Ko mombe'upy tujaite oñeha'ẽ ombohovái mba'eicharupípa Tupi oĩ Brasil-pe ha Guarani katu Paraguay retãme.	
Dos hermanos, Guarani y Tupi, llegaron con sus familiares a América.	Mokõi joyke'y, Guarani ha Tupi oĝuahẽkuri ipehẽnguekuéra ndive Amérikape.	
Después de buscar por mucho tiempo a hombres y mujeres como ellos, se dieron cuenta con esta enorme extensión de tierra solamente habían campos, montes y animales salvajes.	Heta oheka rire kuimba'e ha kuña ha'ekueraichagua, ohechakuaa hikuái ko yvy guasuetépe oĩha ñu, ka'aguy ha mymba ñarõ mante.	
Luego de la larga búsqueda y al no encontrar semejantes, fundaron sus pueblos.	Heta oheka rire ha ndojuhúimarõ hapichakuerarã; upémarõ, omoheñói itavarã.	
En esas comunidades vivieron por mucho tiempo en paz y amistad, juntos y solidariamente.	Umi táva rupi oiko heta ára teko marangatu ha mborayhu pa'ũme, oñondivepa, jekupytýpe.	
