no te rindas;rendir:v , aún estás;estar:v a tiempo;*:n	ani reñeme'ẽ;me'ẽ:v , ikatu;katu:v gueterei
ensayar;*:v un;*:a canto;*:n|cantar:v ,	eñeha'ã;ha'ã:v|ñeha'ã:v ha epurahéi;purahéi:v ,
bajar;*:v la guardia;*:n y extender;*:v las manos;mano:n	emboguejy;guejy:v|mboguejy:v nde;*|*:n jyva;*:n oñorairõséva;ñorairõ:v ha eipyso;pyso:v nde;*|*:n po;*|*:n
desplegar;*:v las alas;ala:n	embosako'i;mbosako'i:v nde;*|*:n pepo;*:n|po:v
e intentar;*:v de nuevo;*:a|*:n ,	ha eñeha'ãjey;ha'ã:v|ñeha'ã:v ,
celebrar;*:v la vida;*:n y retomar los cielos;cielo:n .	egueroayvu;ayvu:v nde;*|*:n rekove;<heko:n|<hekove:n ha eñemomba'e;momba'e:v arapýre;arapy:n .
no te rindas;rendir:v , por favor;*:n , no cedas;ceder:v ,	ani reñeme'ẽ;me'ẽ:v , ani nekangy;kangy:v ,
aunque el frío;freír:v|*:a|*:n queme;quemar:v ,	jepémo ro'y;*:n nderapy;<hapy:v
aunque el miedo;*:n muerda;morder:v ,	jepémo kyhyje;*:n ndesu'urasy ,
aunque el sol;*:n se ponga;poner:v y se calle;callar:v|*:n el viento;*:n ,	jepémo kuarahy;*:n oñemi;ñemi:v ha yvytu;*:n okirirĩ;kirirĩ:v ,
aún hay fuego;*:n en tu alma;*:n ,	oĩgui;ĩ:v gueterei tata;<hata:n ne;nde:n ángape;ánga:n ,
aún hay vida;*:n en tus sueños;sueño:n	oĩgui;ĩ:v gueterei pytuhẽ;*:n nde;*|*:n kerayvotýpe;kerayvoty:n
porque cada día;*:n es;ser:v un;*:a comienzo;comenzar:v|*:n nuevo;*:a|*:n ,	ára;*:n pyahu he'iségui;'e:v|he'ise:n ñepyrũjey ,
porque esta es;ser:v la hora;*:n y el mejor;*:a momento;*:n .	ko'áĝa ha'égui;'e:v pe;*|*:n aravoite .
porque no estás;estar:v solo;*|*:a|*:n , porque yo te quiero;querer:v …	nereiméigui;ime:v ne;nde:n año ha che;*|*:n rohayhúgui;<hayhu:v …
mario Benedetti nació;nacer:v en Paso de los Toros , Takuarembo , República Oriental del Uruguay el día;*:n 14 de setiembre;*:n del año;*:n 1920; y falleció;fallecer:v en la Ciudad de Montevideo , Uruguay , el día;*:n 17 de mayo;*:n del año;*:n 2009.	mario Benedetti niko heñóikuri Paso de los Toros , Takuarembo ; Uruguay;uruguay:n retãme;<hetã:n , ára;*:n 14 jasyporundy;*:n ary;*:n 1920- pe;*|*:n ; ha omanókuri;mano+kuri:v|mano:v Táva Montevideo , Uruguay;uruguay:n retãme;<hetã:n , ára;*:n 17 jasypo;*:n ary;*:n 2009- pe;*|*:n .
la Ciudad de Kapiata fue;ir:v|ser:v fundada;fundar:v por el Gobernador Martín Ledesma de Balderrama en el año;*:n 1640, el día;*:n 2 de febrero;*:n , Día de la Virgen de la Candelaria ; sin embargo;*:n|embargar:v , el Prof . Esteban Antonio Romero , historiador;*:n capiateño asegura;asegurar:v que la ciudad;*:n fue;ir:v|ser:v fundada;fundar:v por Pedro Lugo de Navarro , ya que según dicho;*:n|decir:v investigador;*:n , en esa época;*:n Don Pedro Lugo de Navarro era;*:n|ser:v gobernador;*:n ya que Martín Ledesma de Balderrama en ese año;*:n se encontraba;encontrar:v en España .	táva;*:n Kapi'atã niko omoheñoiva'ekue;<heñói:v Sãmbyhyhára Martín Ledesma de Balderrama ary;*:n 1640- pe;*|*:n , ára;*:n 2 jasykõime , Tupãsy La Candelaria árape;ára:n ; upéicharõ;upe:n|upe+rõ:s jepe;*|pe:n , Mbo'ehára Esteban Antonio Romero , tembiasakuaahára kapi'atãygua , he'i;'e:v ko táva;*:n omoheñoihague;<heñói:v Pedro Lugo de Navarro , kóva;*|*:n ha'égui;'e:v upérõ;upe:n|upe+rõ:s sãmbyhyhára;sãmbyhy:n ha ndaje upe;*|*:n arýpe;ary:n Martín Ledesma de Balderrama oĩhaguére;ĩ:v España - pe;*|*:n .
de cualquier manera;*:n , Kapiata es;ser:v una;uno:n|un:a|unir:v de las ciudades;ciudad:n más antiguas;antiguo:a del Paraguay .	taha'eha'eháicha , Kapi'atã niko oĩ;ĩ:v umi ñane;ñande:n retã;<hetã:n táva;*:n itujavéva;tuja:v apytépe;*|apyte:n .
la palabra;*:n Kapiata procede;proceder:v de las voces;voz:n guarani;*:n “ Kapi'i ” que es;ser:v una;uno:n|un:a|unir:v “ paja;*:n ” y “ atã” que significa;significar:v “ duro;durar:v|*:a|*:n / a ”.	ñe'ẽ;*:n Kapiata ou;ju:v mokõi;*:n ñe'ẽgui;ñe'ẽ:n : “ kapi'i;*:n ” ha “ atã ”.
es;ser:v decir;*:v , “ Kapi'i'atã” quiere;querer:v decir;*:v o designa;designar:v una;uno:n|un:a|unir:v “ variedad;*:n de paja;*:n ” que tiene;tener:v la característica;*:n de ser;*:n|*:v “ dura;durar:v|duro:a ”; usada;usar:v|usado:a para la confección;*:n de las escobas , actividad;*:n artesanal;*:a característica;*:n de los capiateños .	ja'eporãtarõ , ñambohyapuva'erã “ Kapi'i'atã ”; ha'éva;'e:v|ha'e:n peteĩ;*:n ka'avo;*:n hetava'ekue;<heta:v ko táva;*:n oĩhame ha ijere;jere:n rupi;*|<hupi:n avei ha ichugui;ha'e:n ojejapo;<japo:v avei typycha;*:n ha'éva;'e:v|ha'e:n Kapi'atãygua rembiapo;<hembiapo:n teete .
el Distrito de Kapiata se halla;hallar:v ubicado;ubicar:v en el Departamento Central .	táva;*:n Kapi'atã oĩ;ĩ:v Tetãpehẽ Central - pe;*|*:n .
kapiata está;estar:v dividida;dividir:v en un;*:a Centro Urbano con 11 barrios;barrio:n y 15 compañías;compañía:n .	kapi'atã oñemboja'o;mboja'o:v peteĩ;*:n Tavaitépe orekóva;ko:v 11 Jeikoha y;*:n 15 Tavapehẽ .
kapiata cuenta;contar:v|*:n con una;uno:n|un:a|unir:v población;*:n de 250.000 habitantes;habitante:n .	ko távape;táva:n oiko;ko:v|iko:v 250.000 tekove;<heko:n|<hekove:n .
la superficie;*:n de la Ciudad es;ser:v de 83 km2.	kapi'atã yvy;*:n ojepyso;pyso:v 83 km2.
tiene;tener:v límites;límite:n con siete;*:a|*:n ciudades;ciudad:n : Luque , Areguá , Itauguá , J . Augusto Saldívar , Ypané , Ñemby y San Lorenzo .	kapi'atã rembe'ýpe;<hembe'y:n oĩ;ĩ:v pokõi táva;*:n : Luque , Aregua , Itaugua , J . Augusto Saldívar , Ypane , Ñemby ha San Lorenzo .
la Municipalidad de Kapiata está;estar:v asentada;asentar:v en el Barrio San Roque sobre;*|sobrar:v|*:n la ruta;*:n Mcal . Estigarribia y Mcal . López .	kapi'atã Tavao oñemohenda;mohenda:v|ñemohenda:v Jeikoha San Roque - pe;*|*:n , tape;<hape:n Mcal . Estigarribia ha Mcal . López ári , Km 20.
kapiata nace;nacer:v como;*|comer:v ciudad;*:n el día;*:n 20 de mayo;*:n del año;*:n 1872 con la creación;*:n de la Primera Junta Municipal .	kapi'atãgui oiko;ko:v|iko:v táva;*:n ára;*:n 20 jasypa;*:n ary;*:n 1872- pe;*|*:n oñemoheñoirõguare Tavao Aty Peteĩha .
finalmente , en el año;*:n 1968 fue;ir:v|ser:v elevada;elevado:a|elevar:v a municipio;*:n y tuvo;tener:v su primer;primero:a intendente municipal;*:n .	ipahápe;*|pa:n|paha:n , ary;*:n 1968- pe;*|*:n ojehechakuaa;<hecha:v ichupe;ha'e:n tavaóramo ha upe;*|*:n guive oguereko;reko:v táva;*:n motenondehára .
en una;uno:n|un:a|unir:v Nochebuena a minutos;minuto:n de la Navidad un;*:a anciano;*:a|*:n medita;meditar:v solitariamente , junto;juntar:v|*:a a la ventana;*:n de su aposento;*:n|aposentar:v ; con mirada;*:n|mirar:v angustiada;angustiar:v mira;*:n|mirar:v el cielo;*:n impasible , brillante;*:a , lleno;llenar:v|*:a|*:n de estrellas;estrella:n , y la tierra;*:n silenciosa;silencioso:a , envuelta;envuelto:a|envolver:v por el suave;*:a viento;*:n .	peteĩ;*:n Pyharemarangatúpe Arareñóimboyvemi , peteĩ;*:n karai;*:n tujamioñepy'amongeta ha'eñomi , ovetã;*:n ykére;*|yke:n , ikotykehápe ; omaña;maña:v kyhyje;*:n yvágare;yvága:n heko;<heko:n kirirĩ guasúva;guasu:n , ojajáiva;jajái:v , henyhẽva;<henyhẽ:v mbyjakuéragui;mbyja:n , ha yvy;*:n ape;*:n katu ikirirĩ ha oñeañuã yvytu;*:n kangy piro'ýpe .
no hay en este;*:n mundo;*:n un;*:a corazón;*:n tan árido como;*|comer:v el suyo ni un;*:a alma;*:n tan atribulada;atribular:v .	ndaipóringo ko yvy;*:n ape;*:n ári peteĩ;*:n korasõ;*:n inandivéva;nandi:v imba'évagui;mba'e:n ha peteĩ;*:n ánga;*:n ikatuva'erã;katu:v oñembyasyve;ñembyasy:v ichugui;ha'e:n .
el sepulcro;*:n se abre;abrir:v ya ante;*|*:n sus pasos;paso:n ; él se encamina;encaminar:v a la sima;*:n y nota;notar:v|*:n asustado;asustar:v , que por bagaje de su vida;*:n , no trae;traer:v más que un;*:a enjambre de errores;error:n ; un;*:a cuerpo;*:n quebrantado;quebrantar:v por las enfermedades;enfermedad:n y un;*:a alma;*:n envenenada;envenenar:v .	tyvyty;*:n niko ojepe'áma;pe'a:v ohóvo;ha:v (vo) henonderãme ; ha'e;*|'e:v|*:n ohupytypotáma hembe'y;<hembe'y:n ha ñemondýi;mondýi:n|*:n reheve ohechakuaa;<hecha:v hekove;<heko:n|<hekove:n rapykuere;<hapykue:n henyhẽha;<henyhẽ:v|<henyhẽ:n opaichagua;opa:n jejavygui ; hete;<hete:n katu hasykatupaite;<hasy:v ha hi'ánga;ánga:n hekotyaipa .
como;*|comer:v espectros;espectro:n aterradores;aterrador:a se arremolinan;arremolinar:v en su memoria;*:n los días;día:n hermosos;hermoso:a de la juventud;*:n : aquella espléndida;espléndido:a mañana;*:n de mayo;*:n en que su padre;*:n le puso;poner:v por primera;primero:a|*:n vez;*:n en el sendero;*:n de la vida;*:n desconocida;desconocido:a|desconocer:v para él ; asimismo , aquel momento;*:n fatal;*:a , en que él , el joven;*:a|*:n de sonrientes;sonriente:a esperanzas;esperanza:n , pisó;pisar:v , en vez;*:n del camino;*:n|caminar:v pedregoso , pero;*|*:n apacible , de la virtud;*:n ; aquel otro;*:a|*:n de la voluptuosidad y del error;*:n ; camino;*:n|caminar:v que le prometía;prometer:v el gozo;*:n|gozar:v , pero;*|*:n lo precipitó;precipitar:v arteramente al abismo;*:n .	póra;*:n ivaivaivévaicha;vai+vaicha:v|vai:v ohasa;<hasa:v iñakã;akã:n rupi;*|<hupi:n umi ára;*:n porãite;po:n imitãrusúrõguare : ku jasypo;*:n pyhareve;py:n|pyhare:n|*:n jajai'asy itúva;ru:n opoírõguare;poi:v (ramo+guare) chugui;ha'e:n oguata;guata:v haĝua ha'eño ha ijehegui ko yvy;*:n ape;*:n ári , teko;<heko:n ha'e;*|'e:v|*:n ne'irã oikuaaguasúva;kuaa:v gueterei ; upéicha;upe:n avei , ku pa'ũ;*:n hekojetu'úva , ha'e;*|'e:v|*:n , mitãrusu;*:n henyhẽva;<henyhẽ:v pukavy;*:n ha kerayvotyeta porãgui;po:n , opyrũrãngue;pyrũ:v tape;<hape:n hasyvéva;<hasy:v , py'aguapy;*:n me'ẽha;me'ẽ:n , tekokatu rape;<hape:n ; oguatákuri;guata+kuri:v|guata:v ambuére;ambue:n henyhẽva;<henyhẽ:v tekojerovu ha jejavýgui ; tape;<hape:n gua'u omyenyhẽtava heko;<heko:n vy'águi;vy'a:n ha upevérõ;upe:n|upe+rõ:s pya'eterei;pya'e:n ombosyryrýva;syryry:v chupe;ha'e:n yvykua gotyo .
una;uno:n|un:a|unir:v pena;*:n|penar:v indecible tortura;torturar:v|*:n el corazón;*:n del anciano;*:a|*:n , cuando grita;gritar:v sollozando;sollozar:v en el silencio;silenciar:v|*:n de la noche;*:n : ¡ Si pudieran;poder:v volver;*:v otra;otro:n|otro:a vez;*:n los años;año:n de la juventud;*:n !.	peteĩ;*:n py'arasy;*:n ijapyra'ỹva ohapy;<hapy:v pe;*|*:n karai;*:n tujami korasõ;*:n , omohasẽ;<hasẽ:v chupe;ha'e:n ha sapukái;*:n upe;*|*:n pyhare;py:n|*:n ikirirĩ'asývape : ¡ Ikatúnga'ura'e ambojevy ára;*:n ha aikojey;ko:v|iko:v mitãrusúrõ;mitãrusu+rõ:s|mitãrusu:n !.
¡ Oh , Padre mío , colócame otra;otro:n|otro:a vez;*:n en el cruce;*:n|cruzar:v de los caminos;camino:n de la vida;*:n , para que pueda;poder:v elegir;*:v de otro;*:a|*:n modo;*:n !.	¡ Oo , che;*|*:n Ru , chemoĩjeýna tapejoasahápe aiporavo;poravo:v haĝua ambue;*:n tape;<hape:n !.
la queja;quejar:v|*:n sollozante del anciano;*:a|*:n se pierde;perder:v sin respuesta;*:n en el silencio;silenciar:v|*:n de noche;*:n .	karai;*:n tujami py'arasy;*:n oñemondéva;monde:v|ñemonde:v tasẽme;<hasẽ:n oho;ha:v ha okañy;kañy:v upe;*|*:n pyhare;py:n|*:n kirirĩguasúpe ha ndohupytýi;<hupyty:v ñembohovái;mbohovái:n .
no tendrá;tener:v ya ocasión;*:n de elegir;*:v ...	ndorekomo'ãvéima pa'ũ;*:n oiporavo;poravo:v haĝua …
pero;*|*:n tú , amigo;*:n mío , estás;estar:v todavía frente;*:n al cruce;*:n|cruzar:v de los caminos;camino:n de la vida;*:n .	áĝakatu nde;*|*:n , che;*|*:n irũ;*:n , reime;ime:v gueterei tapejoasaha renondépe;*|<henonde:n .
tu puedes elegir;*:v aún el camino;*:n|caminar:v recto;regir:v|*:a|*:n .	nde;*|*:n reiporavokuaa;poravo:v gueterei tape;<hape:n ikare'ỹva .
no seas;ser:v primavera;*:n , sin flores;flor:n ... No seas;ser:v cielo;*:n , sin estrellas;estrella:n ... No seas;ser:v una;uno:n|un:a|unir:v persona;*:n , sin nobles;noble:n|noble:a ideales;idear+les:v|ideal:n ...	aníke oiko;ko:v|iko:v ndehegui;nde:n arapoty;*:n ijyvoty'ỹva … Aníke oiko;ko:v|iko:v ndehegui;nde:n yvága;*:n imbyja'ỹva;mbyja:n … Aníke oiko;ko:v|iko:v ndehegui;nde:n tekove;<heko:n|<hekove:n hekokatu'ỹva …
en Ka'apuku , hace;hacer:v muchos;mucho:a años;año:n , vivía;vivir:v un;*:a niño;*:n llamado;llamar:v|*:a Carlitos junto;juntar:v|*:a a sus padres;padre:n .	ka'apukúpe , yma ymaite , oikova'ekue;ko:v|iko:v peteĩ;*:n mitã'i;mitã:n|*:n hérava;<héra:n|<héra:v Kalo'i;kalo:n itúva;ru:n ha isy;sy:n ndive .
ellos vivían;vivir:v en un;*:a humilde;*:a ranchito;*:n y eran;ser:v muy pero;*|*:n muy pobres;pobre:a|pobre:n .	ha'ekuéra;*|ha'e:n oikova'ekue;ko:v|iko:v peteĩ;*:n tapỹi;*:n chu'imíme ha imboriahu;mboriahu:v imboriahueterei hikuái .
su padre;*:n labraba;labrar:v la tierra;*:n que le producía;producir:v maíz;*:n , zapallo;*:n , maní;*:n , batata;*:n , mandioca;*:n y poroto;*:n .	itúva;ru:n oñembokokue ha yvy;*:n ome'ẽ;me'ẽ:v chupe;ha'e:n avati;*:n , kurapepẽ , manduvi;*:n , jety;<hy:n|*:n , mandi'o;*:n ha kumanda;*:n .
en época;*:n de carestía;*:n se alimentaban;alimentar:v de lo poco;*:a|*:n que lograban;lograr:v juntar;*:v y muchas;mucho:a veces;vez:n hasta pasaron;pasar:v hambre;*:n por carecer;*:v de comida;comer:v|*:n .	opávo;pa+vo:v|opa:n|opa+vo:s umíva ho'umiva'erã;'u:v umi tembyremi ombyatyva'ekue;mbyaty:v ha heta;<heta:v jey;jevy:n|y:n ohasa;<hasa:v hikuái ñembyahýi ndorekovéigui tembi'u;<hembi'u:n .
su abuelo;*:n siempre le decía;decir:v a Carlitos que luego de morir;*:v él vería;ver:v , con Dios , como;*|comer:v ayudarlos;ayudar:v (los) para salir;*:v de la pobreza;*:n ; y así;*|asir:v , un;*:a día;*:n , el abuelo;*:n falleció;fallecer:v .	hamói;<hamói:n he'imiva'erã;'e:v Kalo'ípe;kalo:n omano;mano:v rire ohechataha , Ñande Ru ndive , mba'éichapa;*|mba'e:n ikatúne;katu:v oipytyvõ;pytyvõ:v chupekuéra;ha'e:n osẽ;sẽ:v haĝua mboriahúgui ; ha péicha;*|pe:n , peteĩ;*:n ára;*:n , tamói;<hamói:n omano;mano:v .
días;día:n después el abuelo;*:n se le apareció;aparecer:v en sueños;sueño:n a Carlitos y le dijo;decir:v : “ Fíjate , después de la primera;primero:a|*:n lluvia;*:n , donde nace;nacer:v el arcoíris y allí encontrarás;encontrar:v una;uno:n|un:a|unir:v gran;grande:a riqueza;*:n que - bien;*|*:a|*:n administrada;administrar:v por ustedes - les ayudará;ayudar:v a vivir;*:n|*:v holgadamente ”.	ohasávo;<hasa:v (vo) umi ára;*:n , tamói;<hamói:n ojehechauka;<hecha:v|<hechauka:v Kalo'ípe;kalo:n iképe ha he'i;'e:v chupe;ha'e:n : “ Ejesareko , ama;*:n guasu;*:n oúva;ju:v rire , pe;*|*:n jýi;*:n heñoihápe ha upépe;upe:n rejuhúta;juhu:v mba'eta guasu;*:n peneipytyvõtava - peipuruporãrõ - peiko;ko:v|iko:v porã;po:n haĝua peikotevẽ'ỹre;kotevẽ:v mba'eve;mba'e:n ”.
y efectivamente , Carlitos y su padre;*:n , luego de la lluvia;*:n , fueron;ir:v|ser:v hasta donde nacía;nacer:v el arcoíris y encontraron;encontrar:v una;uno:n|un:a|unir:v olla;*:n llena;lleno:a|llenar:v de oro;orar:v|*:n .	ha añetehápe;*|añete:n , Kalo'i;kalo:n ha itúva;ru:n , ama;*:n guasu;*:n rire , ohókuri;ha:v|ha+kuri:v jýi;*:n heñoiha peve;*|pe:n ha ojuhu;juhu:v peteĩ;*:n japepo;*:n henyhẽva;<henyhẽ:v itajúgui;itaju:n .
esa riqueza;*:n los ayudó;ayudar:v a vivir;*:n|*:v muy bien;*|*:a|*:n y a ayudar;*:v a sus semejantes .	pe;*|*:n mba'eta rupive;<hupi:n ha'ekuéra;*|ha'e:n ohupyty;<hupyty:v tekoporã;<hekoporã:n ha avei oipytyvõ;pytyvõ:v hapichakuéra;<hapicha:n oikotevẽvape .
y así;*|asir:v llega;llegar:v a su fin;*:n la historia;*:n de Carlitos que ayudado;ayudar:v por su abuelo;*:n encontró;encontrar:v la riqueza;*:n donde nacía;nacer:v el arcoíris …	ha péicha;*|pe:n oĝuahẽ;guahẽ:v ijapýpe;ja:n|apy:n Kalo'i;kalo:n rembihasakue , hamói;<hamói:n ñepytyvõ;pytyvõ:n|*:n rupive;<hupi:n , ojuhuva'ekue;juhu:v mba'eta oĩva;ĩ:v jýi;*:n heñoihápe …
josé Hernández , cuyo nombre;*:n|nombrar:v completo;completar:v|*:a|*:n es;ser:v José Rafael Hernández y Pueyrredón , nació;nacer:v el día;*:n 10 de noviembre;*:n del año;*:n 1834, en Buenos Aires , República Argentina .	josé Hernández , héra;<héra:n|<héra:v pukuvéva José Rafael Hernández y;*:n Pueyrredón , heñóikuri ára;*:n 10 jasypateĩ;*:n ary;*:n 1834- pe;*|*:n , Táva Buenos Aires , Argentina retãme;<hetã:n .
su padre;*:n fue;ir:v|ser:v Rafael Hernández y su madre;*:n Isabel de Pueyrredón .	itúva;ru:n herava'ekue;<héra:v Rafael Hernández ha isýkatu;sy:n Isabel de Pueyrredón .
fue;ir:v|ser:v militar;*:n|*:v , periodista;*:n , poeta;*:n y político;*:n argentino;*:a|*:n , más conocido;conocer:v|*:a|*:n como;*|comer:v el autor;*:n del Martín Fierro , obra;*:n|obrar:v máxima;*:n de la literatura;*:n gauchesca .	guarini;*:n , marandu'asãihára , ñe'ẽpapára;*:n ha teikuaihára Argentina - ygua;y:n|*:n , ojekuaavéva;jekuaa:v|kuaa:v ohaihaguére;hai:v Martín Fierro , aranduka ojehecharamovéva;<hecha:v gaucho reko;<heko:n rehegua .
en su homenaje;*:n , el 10 de noviembre;*:n - aniversario;*:n de su nacimiento;*:n - se celebra;celebrar:v el Día de la Tradición en la República Argentina .	hérape;<héra:n|<héra:v , ára;*:n 10 jasypateĩ;*:n jave;*|ja:n - hi'arambotýpe - ojegueromandu'a Tavarandu Ára Argentina retãme;<hetã:n .
iniciado;iniciar:v como;*|comer:v militar;*:n|*:v en defensa;*:n de la autonomía;*:n del Estado de Buenos Aires , entre;*|entrar:v los años;año:n 1852 y 1872 desarrolló;desarrollar:v una;uno:n|un:a|unir:v fuerte;*:a|*:n actividad;*:n periodística .	oikókuri;iko+kuri:v|ko:v|ko+kuri:v|iko:v chugui;ha'e:n guarini;*:n oipysyrõnguévo Buenos Aires rekosãso , ary;*:n 1852 guive 1872 peve;*|pe:n omba'apo;mba'apo:v mbarete;*:n marandu'asãihápe .
en esa época;*:n caliente;calentar:v|*:a políticamente , decía;decir:v que las Provincias no debían;deber:v permanecer;*:v ligadas;ligar:v|ligado:a al gobierno;gobernar:v|*:n de Buenos Aires .	“ Yvy hakuve;<haku:n|<haku:v jave;*|ja:n ”, he'íkuri;'e+kuri:v|'e:v Tetãpehẽnguéra natekotevẽiha oĩ;ĩ:v Buenos Aires ruvicha;<huvicha:n poguýpe;guy:v .
desde el año;*:n 1857 se radicó;radicar:v en Parana y vivió;vivir:v alternativamente en esa ciudad;*:n , en Corrientes , Rosario y Montevideo para después retornar;*:v a Buenos Aires .	ary;*:n 1857- pe;*|*:n ova;va:v ha oikókuri;iko+kuri:v|ko:v|ko+kuri:v|iko:v Paranáme;parana:n ha upégui;upe:n ova;va:v Corrientes , Rosario ha Montevideo - pe;*|*:n ha upéi ojevy Buenos Aires - pe;*|*:n .
participó;participar:v en una;uno:n|un:a|unir:v de las últimas;último:a rebeliones;rebelión:n federales;federal:a|federar+les:v , dirigida;dirigir:v por Ricardo López Jordán , cuyo intento;*:n|intentar:v de acción;*:n finalizó;finalizar:v en el año;*:n 1871 con la derrota;*:n|derrotar:v de los gauchos y el exilio;exiliar:v|*:n de José Hernández en el Brasil .	oĩjepékuri;ĩ:v|ĩ+kuri:v umi Federal ñorãirõ;ñorairõ:n pahápe;pa:n|paha:n , omoakãva'ekue Ricardo López Jordán , ndaipu'akáiva'ekue;pu'aka:v hovaiguáre ha oguevi;guevi:v ary;*:n 1871- pe;*|*:n guaucho - kuéra oñeme'ẽhaguépe;me'ẽ:v ha José Hernández katu oñemomombyry;ñemomombyry:v ha oho;ha:v Brasil retãme;<hetã:n .
después de esta revolución;*:n él siguió;seguir:v colaborando;colaborar:v con López Jordán , de quién con el tiempo;*:n se separó;separar:v .	upe;*|*:n ñorairõ;*:n rire ha'e;*|'e:v|*:n oipytyvõvékuri;pytyvõ:v|pytyvõ+kuri:v López Jordán - pe;*|*:n ha mbeguekatúpe ojeheja;<heja:v chugui;ha'e:n .
a su retorno;*:n|retornar:v a la Argentina , en el año;*:n 1872, continuó;continuar:v su lucha;*:n|luchar:v por medio;*:a|*:n|mediar:v del periodismo;*:n y publicó;publicar:v la primera;primero:a|*:n parte;partir:v|*:n de su obra;*:n|obrar:v maestra;*:n , El Gaucho Martín Fierro .	ojevývo Argentina - pe;*|*:n , ary;*:n 1872- pe;*|*:n , ombojoapy;mbojoapy:v iñorairõ;ñorairõ:n marandu'asãi rupive;<hupi:n ha upérõ;upe:n|upe+rõ:s ohecha;<hecha:v ára;*:n resa;<hesa:n hembiapo;<hembiapo:n tuichavéva , El Gaucho Martín Fierro .
fue;ir:v|ser:v a través;*:n de su poesía;*:n como;*|comer:v consiguió;conseguir:v un;*:a gran;grande:a eco;*:n para sus propuestas;proponer:v|propuesta:n y la más valiosa;valioso:a contribución;*:n a la causa;*:n de los gauchos .	iñe'ẽpoty rupive;<hupi:n omyasãimbaretékuri hemiandu;<hemiandu:n ha pytyvõ gaucho - kuéra rayhupápe .
